config,description,correct,total,accuracy,time_seconds,time_per_question,delta_accuracy
baseline_no_rag,"Baseline: LLM only, no RAG",124,148,83.78378378378379,33.0183801651001,0.22309716327770338,0.0
rag_basic,"Basic RAG: BM25+FAISS+RRF, no filtering",117,148,79.05405405405406,45.988499879837036,0.3107331072961962,-4.729729729729726
phase1_country_filter,Phase 1: + Country filter precision fix,124,148,83.78378378378379,46.67937636375427,0.3154011916469883,4.729729729729726
phase2_intent,Phase 2: + Intent detection (metadata only),124,148,83.78378378378379,48.68137574195862,0.3289282144726934,0.0
phase3_tiered,Phase 3: + Tiered intent-based routing,123,148,83.1081081081081,47.98225212097168,0.3242044062227816,-0.6756756756756914
phase4_quality,Phase 4: + Anti-leak + Trust-aware prompts,120,148,81.08108108108108,67.56014466285706,0.45648746393822337,-2.0270270270270174
phase5_trust_weight,Phase 5: + Trust-weighted reranking,120,148,81.08108108108108,68.01653170585632,0.4595711601747049,0.0
phase6_full_system,Phase 6: Full system with all optimizations,120,148,81.08108108108108,68.21496963500977,0.4609119569933092,0.0
