config,description,correct,total,accuracy,time_seconds,time_per_question,delta_accuracy
baseline_no_rag,"Baseline: LLM only, no RAG",124,148,83.78378378378379,33.53305411338806,0.22657468995532473,0.0
rag_basic,"Basic RAG: BM25+FAISS+RRF, no filtering",127,148,85.8108108108108,51.236103773117065,0.3461898903588991,2.0270270270270174
phase1_country_filter,Phase 1: + Country filter precision fix,123,148,83.1081081081081,56.88238883018494,0.38434046506881714,-2.702702702702709
phase2_intent,Phase 2: + Intent detection (metadata only),123,148,83.1081081081081,56.93626046180725,0.38470446257977875,0.0
phase3_tiered,Phase 3: + Tiered intent-based routing,121,148,81.75675675675676,54.37971878051758,0.3674305323007944,-1.3513513513513402
phase4_quality,Phase 4: + Anti-leak + Trust-aware prompts,120,148,81.08108108108108,78.40062642097473,0.5297339623038834,-0.6756756756756772
phase5_trust_weight,Phase 5: + Trust-weighted reranking,120,148,81.08108108108108,78.59135270118713,0.5310226533863995,0.0
phase6_full_system,Phase 6: Full system with all optimizations,120,148,81.08108108108108,78.13143658638,0.5279151120701352,0.0
