config,description,correct,total,accuracy,time_seconds,time_per_question,delta_accuracy
baseline_no_rag,"Baseline: LLM only, no RAG",124,148,83.78378378378379,32.39729022979736,0.218900609660793,0.0
rag_basic,"Basic RAG: BM25+FAISS+RRF, no filtering",122,148,82.43243243243244,47.27402329444885,0.3194190763138436,-1.3513513513513544
phase1_country_filter,Phase 1: + Country filter precision fix,124,148,83.78378378378379,55.472153663635254,0.3748118490786166,1.3513513513513544
phase2_intent,Phase 2: + Intent detection (metadata only),124,148,83.78378378378379,53.834267377853394,0.36374504985036077,0.0
phase3_tiered,Phase 3: + Tiered intent-based routing,124,148,83.78378378378379,54.648247957229614,0.3692449186299298,0.0
phase4_quality,Phase 4: + Anti-leak + Trust-aware prompts,122,148,82.43243243243244,79.36838245391846,0.5362728544183679,-1.3513513513513544
phase5_trust_weight,Phase 5: + Trust-weighted reranking,122,148,82.43243243243244,79.44044780731201,0.5367597824818379,0.0
phase6_full_system,Phase 6: Full system with all optimizations,122,148,82.43243243243244,79.4362154006958,0.5367311851398365,0.0
